State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.66704	1.67409	1.71873	1.69994	1.68114	1.70816	1.74106	1.79510	1.81037	1.77630	1.66469	1.73988	1.74693	1.76103	1.80919	1.85736	1.89026	1.86323	1.90435	1.92432	1.95604
2	4.22386	4.17290	3.98177	3.94992	3.75879	3.61863	3.48485	3.37017	3.29372	3.08348	2.99429	3.13445	3.13445	3.12808	3.15356	3.23001	3.25550	3.37654	3.16630	3.18542	3.19179
3	0.89599	0.86944	0.84455	0.80639	0.77155	0.75330	0.70352	0.69522	0.66536	0.69190	0.72675	0.66370	0.70352	0.70352	0.65208	0.67033	0.68527	0.65042	0.69688	0.74998	0.71679
4	3.35424	3.24880	3.32129	3.32459	3.37401	3.49263	3.57500	3.58159	3.65738	3.62443	3.40037	3.42344	3.30152	3.20597	3.18620	3.08406	3.08735	3.16314	3.12360	3.04452	3.05111
5	4.23368	4.27097	4.27294	4.28472	4.26705	4.21601	4.18722	4.14861	4.06354	4.00203	3.92809	3.84826	3.76974	3.69449	3.59241	3.49687	3.37451	3.29206	3.19783	3.08725	2.99236
6	0.35416	0.35369	0.35529	0.35529	0.35542	0.35629	0.35695	0.35728	0.35728	0.35835	0.36120	0.36253	0.36300	0.36466	0.36546	0.36659	0.36845	0.36898	0.37031	0.37177	0.37284
7	1.25352	1.25111	1.24937	1.25526	1.25726	1.25820	1.26181	1.26703	1.27988	1.30196	1.34344	1.35134	1.36994	1.38814	1.40192	1.41611	1.43672	1.45478	1.47539	1.49547	1.50885
8	1.56168	1.56939	1.58096	1.54240	1.57710	1.65037	1.63109	1.68507	1.65808	1.60795	1.42672	1.43443	1.41901	1.46913	1.48070	1.48070	1.44214	1.49227	1.40358	1.29176	1.30718
9	1.34303	1.35042	1.34765	1.34950	1.34719	1.33841	1.33472	1.33333	1.32687	1.32225	1.32456	1.31440	1.29962	1.30054	1.29592	1.28623	1.28484	1.28900	1.28022	1.26683	1.27791
10	2.23592	2.23592	2.11506	2.05463	2.32424	2.47300	2.55667	2.45905	2.68683	2.64964	2.45440	2.49159	2.57061	2.37073	2.55667	2.60780	2.49624	2.32424	2.29635	2.42186	2.38003
