State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	3.68486	3.97828	4.41167	4.93215	5.55528	6.24684	7.07733	7.59574	7.14472	6.03222	5.07420	4.49669	4.08403	3.71700	3.40906	3.07210	2.77038	2.46659	2.24783	2.04150	1.91915
2	5.41454	6.33664	7.82100	10.03629	13.55040	19.04366	26.40923	35.51780	45.54284	54.78073	60.95994	63.41138	60.29085	51.72205	38.40218	25.34656	16.24924	10.90217	7.69730	5.76314	4.44183
3	2.41474	2.44695	2.48502	2.45134	2.37080	2.10429	1.66352	1.14806	0.86397	0.75268	0.80247	0.92987	1.57273	2.59485	3.84981	4.94955	5.57923	5.89260	6.14593	6.27333	6.32751
4	5.28954	5.43785	5.47565	5.43785	4.97549	4.33865	3.42555	2.62878	2.06464	1.87853	1.87271	2.03265	2.57353	4.53348	8.15677	11.67829	13.96974	14.88284	14.67346	14.07443	13.35908
5	0.91072	0.84373	0.76461	0.69820	0.64680	0.59483	0.56826	0.53939	0.54516	0.54920	0.55440	0.56711	0.57981	0.59136	0.61388	0.65951	0.74729	0.86914	1.04412	1.21795	1.39293
6	0.29168	0.28827	0.28346	0.27901	0.27490	0.27156	0.26763	0.26481	0.26094	0.25671	0.25448	0.25407	0.25407	0.25501	0.25712	0.25982	0.26264	0.26575	0.26874	0.27267	0.27701
7	1.55662	1.51021	1.45245	1.37391	1.27648	1.14196	0.99125	0.83146	0.71831	0.65312	0.63198	0.63942	0.68028	0.72871	0.77713	0.83276	0.88685	0.93764	0.97696	1.01369	1.04192
8	1.19449	1.27616	1.37826	1.51098	1.55522	1.73899	1.81726	1.91255	1.93977	2.23584	2.34134	2.49448	2.54212	2.54212	2.46045	2.30050	2.19500	2.09291	1.95679	1.84108	1.70836
9	1.56313	1.56395	1.55009	1.53990	1.52564	1.50200	1.44778	1.40295	1.36912	1.33243	1.34711	1.37686	1.42577	1.46164	1.51137	1.56517	1.59411	1.61571	1.62468	1.63283	1.62835
10	2.07177	2.15792	2.12100	2.04716	2.02254	2.21536	2.22767	2.38767	2.91689	3.69637	3.42560	2.53536	1.82152	1.70665	1.62460	1.64101	1.61229	1.60819	1.65331	1.64101	1.62460
