State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	2.97635	4.29114	1.74599	0.96973	1.66487	5.07435	4.35333	0.52066
2	0.54885	59.47756	8.74991	1.61393	2.99461	60.95620	23.28405	0.24349
3	2.10736	1.18240	0.76981	2.15564	0.72682	0.80250	2.69569	0.25450
4	1.06121	1.33445	2.84361	2.15066	3.39743	1.87277	5.79607	0.18046
5	5.34362	0.88308	4.47014	2.15642	3.92785	0.55442	0.77777	0.27749
6	52.60370	0.12763	0.31872	0.71737	0.36124	0.25449	0.29426	1.31176
7	26.12882	0.65526	1.17368	1.14611	1.34359	0.63200	1.03757	0.78372
8	0.90680	3.86587	1.91963	1.07652	1.42687	2.34141	2.05631	0.90413
9	7.57106	1.92270	1.37880	1.10764	1.32470	1.34715	1.60283	0.69652
10	0.75221	5.39655	2.47540	1.11005	2.45001	3.42571	2.24210	0.70659
Base	100	0.6928318444	2.4881363217	42.7405239504	0.0009417986	0.0010672136	3.4589586137	37.2616995321
