State (Emission order)	H3k36	H3k9	H3k4	H3k79	Pol	H2az	Ctcf	Suz	H3k27	Cbx
1	0.016815493451052082	0.06248955351664877	0.587346021661	0.00812243345112093	0.06609602895736466	0.4772352620809027	0.038561052703410655	0.0808825170257251	0.0022766728685768276	0.060054992985339985
2	0.014768794031205722	0.024493679953806885	0.24129277008799796	0.6367024941587652	0.4747531294690114	0.8602227250571458	0.22485680474164146	0.08812457160865736	9.470741678401123E-5	0.042888070877966665
3	0.07703249259544126	0.030410452272510307	0.04767963571605296	0.610428685426397	0.016277547447118533	0.0017711277300999273	0.004111298287981089	0.03019933973633108	2.4237673756793767E-4	0.010110788739189164
4	0.35050481920674487	0.19158535520892933	0.7185476682414405	0.7778079660446461	0.23066958522446468	0.04208073330770848	0.04591752052800667	0.07068187304724087	4.888057612222821E-4	0.03125234581872469
5	0.2509946815529624	0.04425210636781276	0.010482451125830733	0.015662313473585883	0.08006251672884421	7.444137680281105E-5	0.00724059279264502	0.04304645523300808	1.970168230012429E-4	0.013822083641290126
6	3.530227841266144E-4	0.004406618693349232	2.748268087861769E-4	2.3838380397589816E-5	0.001484884076777001	2.9428441103197795E-4	7.748859772893763E-4	0.03329200230830885	0.001133969627490588	0.010365302675568767
7	0.004968930094183945	0.015537463987567675	0.005221149006080381	0.001577036797675141	0.005478703857072236	0.01134761031809335	8.488953404731482E-4	0.04617752715395691	0.0034632532624241422	0.028775018091696823
8	0.011530929301810587	0.1083545412789882	0.010836098763537775	3.122504180936143E-4	0.04205118765862622	0.02013514615680486	0.006304353975668482	0.2968102291407594	0.07757160567345166	0.17958147163552632
9	3.4086104914847265E-4	0.02623349228840644	0.005080454251488976	9.137861538099492E-5	0.005768483138685643	0.005034841642317983	0.004100703747316473	0.1580905702383129	0.07515468624160318	0.29653258630297663
10	0.023966105929307924	0.06978764335809846	0.08978740234304156	0.004230598272051671	0.04321222682321992	0.13538352697294342	0.9534076248595359	0.1270532649734471	0.012645957852615766	0.10599292730701525
