State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.8093114545978981	0.013278301008339048	0.0	0.0029002784789538875	8.685235695515236E-4	7.938515938017366E-4	0.15908724882732478	4.445997454984542E-6	0.007924925111279865	0.005830970815395941
2	0.07182883779826595	0.8349023654142391	0.045905423525689694	0.04444727655429441	0.0	6.376197058242664E-4	0.0	0.0	0.0	0.0022784770016865442
3	0.0	0.012331403228581596	0.8970226209383012	0.0673909008832473	0.012094970983769389	0.0	0.011117288559105508	0.0	1.5441461977649027E-5	2.737394501740551E-5
4	0.00896544623658513	0.02208861012931744	0.12913240820966093	0.8052250530022454	0.03282443508438236	0.0	0.0013684979761772705	0.0	1.9374878327213177E-5	3.7617448330416693E-4
5	0.0	0.0	0.00451322966101872	0.006787423588749974	0.9697905120569523	0.0	0.016914687345814722	0.0	2.805675772228362E-7	0.0019938667798870473
6	4.51451237893504E-5	0.0	0.0	0.0	0.0	0.9938455179533724	8.20385192354763E-5	0.0043961444285626075	6.664982064242556E-4	9.646557686158401E-4
7	0.020859876235276766	0.0	9.774540822244553E-4	5.30836594628183E-5	0.0036510018319623233	1.6771307097084942E-4	0.9570832162315956	0.010501927535382283	0.0	0.00670572735312491
8	2.8618506759380974E-6	0.0	0.0	0.0	7.888700495792734E-6	0.11771091605776014	0.12854606400292912	0.6826007470683181	0.061615205874396235	0.009516316445424576
9	0.003256026848344173	0.0	0.0	8.96080466196421E-6	2.9409177076391912E-8	0.004861761177993947	0.0	0.01591886510182852	0.96968761403432	0.006266742623674193
10	0.025917706878948888	0.00139876048132878	1.2524207439078595E-4	6.543239890621625E-4	0.014011612837336864	0.06965095073926338	0.21816247034429365	0.02593717220100877	0.06325399266965204	0.5808877677847146
